X,Y,OBJECTID,ADDRESS,ARTIST,TITLE,MEDIUM,YEAR,ART_TYPE,DISPLAY,LOCATION,NEIGHBORHOOD,SIZE_,WARD,DURATION,PROGRAM_SOURCE,ARTWORK
-77.001306499826015,38.900212686049244,139,H STREET NE FROM 3RD STREET NE TO 4TH STREET NE,Wilfredo Valladares,"DC8 Totem Poles, Totem 4","Reclaimed wood, paint",2010,Sculpture,Metropolitan Branch Trail (MBT) at the Rhode Island Entrance in NE,"300 block of h street ne (between 3rd & 4th street, ne)",old city,8',6,Permanent,Commissioned Project,
-77.001306499826015,38.900212686049244,140,H STREET NE FROM 3RD STREET NE TO 4TH STREET NE,Wilfredo Valladares,"DC8 Totem Poles, Totem 5","Wood, paint, LCD screen",2010,Sculpture,Metropolitan Branch Trail (MBT) at the Rhode Island Entrance in NE,"300 block of h street ne (between 3rd & 4th street, ne)",old city,"8' x 21""",6,Permanent,Commissioned Project,
-77.001306499826015,38.900212686049244,141,H STREET NE FROM 3RD STREET NE TO 4TH STREET NE,Wilfredo Valladares,"DC8 Totem Poles, Totem 6","Polyester resin, paint, wood, steel",2010,Sculpture,Metropolitan Branch Trail (MBT) at the Rhode Island Entrance in NE,"300 block of h street ne (between 3rd & 4th street, ne)",old city,9 1/2',6,Permanent,Commissioned Project,
-77.001306499826015,38.900212686049244,142,H STREET NE FROM 3RD STREET NE TO 4TH STREET NE,Wilfredo Valladares,"DC8 Totem Poles, Totem 7","Wood, corten steel, photographs on acrylic panels",2010,Sculpture,Metropolitan Branch Trail (MBT) at the Rhode Island Entrance in NE,"300 block of h street ne (between 3rd & 4th street, ne)",old city,11',6,Permanent,Commissioned Project,
-77.001306499826015,38.900212686049244,143,H STREET NE FROM 3RD STREET NE TO 4TH STREET NE,Wilfredo Valladares,"DC8 Totem Poles, Totem 8",Wood,2010,Sculpture,Metropolitan Branch Trail (MBT) at the Rhode Island Entrance in NE,"300 block of h street ne (between 3rd & 4th street, ne)",old city,"8' x 40""",6,Permanent,Commissioned Project,
-76.947773314656317,38.894188678040557,144,3935 BENNING ROAD NE,Rik Freeman,Knowledge,Acrylic on canvas,2010,Mural,"Benning Library, Dorothy Irene Height Library, mural located inside of building",3935 benning road ne,benning,6 x 25',7,Permanent,Inter District DCPL,
-77.077778012466737,38.950164181029514,145,3950 CHESAPEAKE STREET NW,Solomon Wondimu,A Portrait of Woodrow Wilson for Woodrow Wilson High School,Ceramic wall tiles,2012,Mural,"Wilson Senior High, mural located in school",3950 chesapeake street nw,north cleveland park,12 ft. x 16 ft.,3,Permanent,Commissioned Project,
-77.015727352990353,38.895452267172132,146,441 4TH STREET NW,Eglon Daley,Of the People,Acrylic on canvas,1995,Mural,"One Judiciary Square, located in lobby",441 4th street nw,judiciary square,"3 paintings: 90"" x 150""; 72"" x 210""; 90"" x 150""",2,Permanent,Downtown Projects,
-77.015727352990353,38.895452267172132,147,441 4TH STREET NW,Val Lewton,Quadrature Nimbii,"Acrylic emulsion paint, brass lettering",1996,Mural,"One Judiciary Square, located in ceiling foyer of building",441 4th street nw,judiciary square,12' each/panels,2,Permanent,Downtown Projects,
-77.015727352990353,38.895452267172132,148,441 4TH STREET NW,Gordon Kray,Pierre L'Enfant,Bronze,2008,Sculpture,"One Judiciary Square building, located in lobby",441 4th street nw,judiciary square,10' x 3' base,2,Permanent,Downtown Projects,
